INFO 2022-12-20 18:06:10 (30299) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Moskau             - Moscow             - https://affenknecht.com/lyrics/rammstein-moskau-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30361) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Morgenstern        - Morningstar        - https://affenknecht.com/lyrics/rammstein-morgenstern-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30422) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Stein Um Stein     - Stone by stone     - https://affenknecht.com/lyrics/rammstein-stein-um-stein-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30480) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Ohne Dich          - Without you        - https://affenknecht.com/lyrics/rammstein-ohne-dich-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30539) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Amour              - Amour              - https://affenknecht.com/lyrics/rammstein-amour-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30539) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:10 (30570) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Mutter Lyrics
INFO 2022-12-20 18:06:10 (30641) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Mein Herz Brennt   - My heart burns     - https://affenknecht.com/lyrics/rammstein-mein-herz-brennt-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30700) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Links 2,3,4        - Left 2,3,4         - https://affenknecht.com/lyrics/rammstein-links-234-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (30756) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Sonne              - Sun                - https://affenknecht.com/lyrics/rammstein-sonne-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (30817) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Ich Will           - I want             - https://affenknecht.com/lyrics/rammstein-ich-will-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (30876) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Feuer Frei!        - Fire Free!         - https://affenknecht.com/lyrics/rammstein-feuer-frei-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (30936) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Mutter             - Mother             - https://affenknecht.com/lyrics/rammstein-mutter-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (30994) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Spieluhr           - Music Box          - https://affenknecht.com/lyrics/rammstein-spieluhr-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31051) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Zwitter            - Hermaphrodite      - https://affenknecht.com/lyrics/rammstein-zwitter-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31111) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Rein Raus          - In Out             - https://affenknecht.com/lyrics/rammstein-rein-raus-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31169) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Adios              - Adios              - https://affenknecht.com/lyrics/rammstein-adios-lyric-with-english-translation/
